,AGE07,EDCL07,MARRIED07,KIDS07,OCCAT107,INCOME07,RISK07,WSAVED07,SPENDMOR07,HHOUSES07,NETWORTH07,Risky2007,Risky2009,Safe2007,Safe2009,RiskTol2007,RiskTol2009,RiskTolChange
12427,42,4,1,3,1,75613.317676,2,3,3,1,934419.75833,132970.7380752,85600,36763.7165254,47400,0.7834045149412461,0.643609022556391,-0.1397954923848551
12428,42,4,1,3,1,74548.341371,2,3,3,1,934419.75833,132970.7380752,85600,36763.7165254,47400,0.7834045149412461,0.643609022556391,-0.1397954923848551
12429,42,4,1,3,1,74548.341371,2,3,3,1,934419.75833,132970.7380752,86500,35728.1188764,48500,0.788213627987708,0.6407407407407407,-0.14747288724696728
12435,64,4,1,0,1,691169.62214,3,3,4,1,9532676.3553,6181482.3644199995,811000,50744.284780999995,405000,0.9918577600531416,0.6669407894736842,-0.32491697057945745
12436,64,4,1,0,1,898840.00167,3,3,4,1,9146398.4324,6872225.99605,2440000,50744.284780999995,378000,0.9926701570680572,0.8658623136976579,-0.1268078433703993
12437,64,4,1,0,1,713534.12455,3,3,4,1,6446595.3625,3631840.9536499996,460000,50744.284780999995,412000,0.9862204724410887,0.5275229357798165,-0.4586975366612722
12438,64,4,1,0,1,1040481.8503,3,3,4,1,8819149.5754,4651904.63755,626000,49708.687133,411000,0.9894273127753755,0.6036644165863067,-0.3857628961890689
12439,64,4,1,0,1,764652.9872,3,3,4,1,9350411.1692,6557404.31085,1362000,49708.687133,372000,0.992476489028086,0.7854671280276817,-0.20700936100040435
12445,68,2,1,0,3,39404.123296,4,2,5,1,365151.73089,10355.976486,20000,39456.270412,26000,0.20790020789878885,0.43478260869565216,0.2268824007968633
12446,68,2,1,0,3,39404.123296,4,2,5,1,362562.73677,10355.976486,16000,37902.8739391,36000,0.21459227467659972,0.3076923076923077,0.09310003301570799
12447,68,2,1,0,3,39404.123296,4,2,5,1,353863.71653,10355.976486,21000,32310.646636719997,24100,0.24271844659966627,0.4656319290465632,0.22291348244689693
12448,68,2,1,0,3,39404.123296,4,2,5,1,361837.81842,10355.976486,10000,35624.5591122,26000,0.22522522522346186,0.2777777777777778,0.05255255255431593
12449,68,2,1,0,3,40469.099601,4,2,5,1,375300.58785,10355.976486,13000,52815.480079,29000,0.16393442622847015,0.30952380952380953,0.14558938329533938
12455,45,4,2,0,2,110757.53575,3,3,5,1,796374.59177,239223.05682899998,190000,171909.209663,284150,0.5818639798578177,0.4007170726563324,-0.1811469072014853
12456,45,4,2,0,2,110757.53575,3,3,5,1,787054.21293,233009.470929,190000,171909.209663,284150,0.5754475703327271,0.4007170726563324,-0.1747304976763947
